mac1;mac2;similaridade
10:9a:dd:02:39:40;58:1f:aa:06:88:92;1.200000
b0:79:94:12:36:09;6c:c2:6b:08:71:38;0.500000
b0:79:94:12:36:09;7c:c5:37:09:91:54;0.710310
b0:79:94:12:36:09;20:64:32:03:94:28;0.500000
6c:c2:6b:08:71:38;7c:c5:37:09:91:54;0.500000
6c:c2:6b:08:71:38;20:64:32:03:94:28;0.500000
7c:c5:37:09:91:54;20:64:32:03:94:28;0.500000
48:60:bc:06:03:05;e4:ce:8f:15:03:59;0.630930
48:60:bc:06:03:05;3c:d0:f8:05:30:33;0.754906
e4:ce:8f:15:03:59;3c:d0:f8:05:30:33;0.870742
58:55:ca:07:03:40;28:e0:2c:04:37:09;0.630930
58:55:ca:07:03:40;e0:f8:47:14:85:06;0.630930
28:e0:2c:04:37:09;e0:f8:47:14:85:06;0.630930
28:cf:da:04:21:41;70:73:cb:08:88:82;1.251291
28:cf:da:04:21:41;00:15:00:00:15:62;0.430677
28:cf:da:04:21:41;b8:ff:61:12:75:72;1.204393
28:cf:da:04:21:41;04:1e:64:01:50:64;0.430677
70:73:cb:08:88:82;00:15:00:00:15:62;0.430677
70:73:cb:08:88:82;b8:ff:61:12:75:72;0.839136
70:73:cb:08:88:82;04:1e:64:01:50:64;0.552130
00:15:00:00:15:62;b8:ff:61:12:75:72;0.430677
00:15:00:00:15:62;04:1e:64:01:50:64;0.430677
b8:ff:61:12:75:72;04:1e:64:01:50:64;0.430677
14:8f:c6:02:76:32;80:96:b1:10:00:99;0.500000
14:8f:c6:02:76:32;34:15:9e:04:65:76;0.500000
14:8f:c6:02:76:32;28:cf:da:04:19:88;0.500000
80:96:b1:10:00:99;34:15:9e:04:65:76;0.618855
80:96:b1:10:00:99;28:cf:da:04:19:88;0.626861
34:15:9e:04:65:76;28:cf:da:04:19:88;0.500000
f8:1e:df:16:15:75;40:a6:d9:05:58:62;5.164851
6c:3e:6d:08:57:62;d8:30:62:13:99:07;1.000000
18:e7:f4:03:43:20;c8:bc:c8:13:41:30;8.994435
00:26:b0:00:91:95;18:20:32:03:00:90;2.430677
d8:9e:3f:14:29:64;60:33:4b:07:72:45;1.145293
f8:1e:df:16:08:55;20:64:32:03:82:53;1.121453
20:02:af:03:67:77;40:a6:d9:05:55:72;3.141894
e8:99:c4:15:27:71;04:46:65:01:56:56;0.789065
e8:99:c4:15:27:71;70:aa:b2:08:91:19;0.789065
e8:99:c4:15:27:71;30:69:4b:04:52:28;0.789065
50:ea:d6:06:59:88;04:46:65:01:56:56;0.551714
50:ea:d6:06:59:88;dc:2b:61:14:50:08;0.578130
50:ea:d6:06:59:88;00:25:00:00:72:27;0.962232
50:ea:d6:06:59:88;90:84:0d:10:92:18;0.410518
e0:f8:47:14:88:42;04:46:65:01:56:56;0.528877
e0:f8:47:14:88:42;70:aa:b2:08:91:19;0.528877
e0:f8:47:14:88:42;f8:1e:df:16:12:56;0.528877
e0:f8:47:14:88:42;00:25:00:00:72:27;0.528877
e0:f8:47:14:88:42;30:69:4b:04:52:28;0.528877
04:46:65:01:56:56;70:aa:b2:08:91:19;1.659807
04:46:65:01:56:56;dc:2b:61:14:50:08;0.545023
04:46:65:01:56:56;f8:1e:df:16:12:56;0.528877
04:46:65:01:56:56;00:25:00:00:72:27;0.791527
04:46:65:01:56:56;30:69:4b:04:52:28;1.659807
70:aa:b2:08:91:19;f8:1e:df:16:12:56;0.528877
70:aa:b2:08:91:19;00:25:00:00:72:27;0.807820
70:aa:b2:08:91:19;30:69:4b:04:52:28;2.903013
dc:2b:61:14:50:08;00:25:00:00:72:27;0.578130
f8:1e:df:16:12:56;00:25:00:00:72:27;0.528877
f8:1e:df:16:12:56;30:69:4b:04:52:28;0.528877
00:25:00:00:72:27;30:69:4b:04:52:28;0.807820
00:25:00:00:72:27;90:84:0d:10:92:18;0.410518
7c:c5:37:09:83:42;d8:9e:3f:14:20:87;1.000000
18:9e:fc:03:37:77;e0:f8:47:14:87:75;0.630930
18:9e:fc:03:37:77;38:ec:e4:05:19:14;0.630930
e0:f8:47:14:87:75;38:ec:e4:05:19:14;0.630930
fc:25:3f:16:28:41;48:60:bc:06:11:36;10.675918
58:55:ca:07:03:52;e0:f8:47:14:81:80;5.000000
e0:b9:ba:14:58:60;b8:ff:61:12:76:47;1.000000
00:26:bb:00:93:76;d8:30:62:13:99:44;0.731707
00:26:bb:00:93:76;6c:3e:6d:08:45:78;0.430677
00:26:bb:00:93:76;e8:06:88:15:15:96;0.430677
00:26:bb:00:93:76;d8:9e:3f:14:08:49;0.430677
d8:30:62:13:99:44;6c:3e:6d:08:45:78;0.549531
d8:30:62:13:99:44;e8:06:88:15:15:96;0.680677
d8:30:62:13:99:44;d8:9e:3f:14:08:49;0.430677
6c:3e:6d:08:45:78;e8:06:88:15:15:96;0.430677
6c:3e:6d:08:45:78;d8:9e:3f:14:08:49;0.430677
e8:06:88:15:15:96;d8:9e:3f:14:08:49;0.430677
00:26:bb:00:93:76;64:b9:e8:08:10:16;0.590095
00:26:bb:00:93:76;8c:7b:9d:10:65:14;0.923428
00:26:bb:00:93:76;e8:06:88:15:12:87;0.622398
00:26:bb:00:93:76;f8:1e:df:16:15:25;0.453916
00:26:bb:00:93:76;7c:c5:37:09:88:60;0.453916
00:c6:10:01:32:15;e8:06:88:15:12:87;1.289065
98:d6:bb:11:49:53;64:b9:e8:08:10:16;0.410518
98:d6:bb:11:49:53;f8:1e:df:16:15:25;0.410518
64:b9:e8:08:10:16;8c:7b:9d:10:65:14;0.590095
64:b9:e8:08:10:16;8c:7b:9d:10:66:31;0.437106
64:b9:e8:08:10:16;f8:1e:df:16:15:25;0.410518
64:b9:e8:08:10:16;a4:d1:d2:11:95:13;0.437106
8c:7b:9d:10:65:14;e8:06:88:15:12:87;0.622398
8c:7b:9d:10:65:14;7c:c5:37:09:88:60;0.431467
8c:7b:9d:10:66:31;7c:c5:37:09:88:60;0.415926
8c:7b:9d:10:66:31;a4:d1:d2:11:95:13;0.437106
f8:1e:df:16:15:25;7c:c5:37:09:88:60;0.453916
cc:08:e0:13:58:01;70:73:cb:08:85:65;1.000000
30:69:4b:04:52:28;70:aa:b2:08:91:19;2.903013
30:69:4b:04:52:28;14:5a:05:02:53:37;0.630930
70:aa:b2:08:91:19;14:5a:05:02:53:37;0.630930
24:ab:81:04:06:54;7c:c5:37:09:91:29;1.000000
a8:6a:6f:12:09:06;04:18:0f:01:48:22;1.000000
98:52:b1:11:39:08;b8:c7:5d:12:68:68;0.379316
98:52:b1:11:39:08;70:56:81:08:83:79;0.379316
98:52:b1:11:39:08;e4:ce:8f:15:03:64;0.379316
98:52:b1:11:39:08;00:c6:10:01:31:49;0.379316
98:52:b1:11:39:08;58:b0:35:07:05:88;0.379316
98:52:b1:11:39:08;7c:11:be:09:63:87;0.379316
98:52:b1:11:39:08;e4:ce:8f:15:09:15;0.379316
98:52:b1:11:39:08;b0:79:94:12:36:09;0.941505
98:52:b1:11:39:08;d8:9e:3f:14:09:86;0.379316
98:52:b1:11:39:08;70:73:cb:08:89:57;0.379316
98:52:b1:11:39:08;f0:b4:79:15:53:89;0.379316
98:52:b1:11:39:08;28:37:37:04:09:26;0.379316
98:52:b1:11:39:08;70:56:81:08:81:99;0.379316
98:52:b1:11:39:08;d4:9a:20:13:94:84;0.379316
98:52:b1:11:39:08;04:0c:ce:01:46:35;0.379316
98:52:b1:11:39:08;58:1f:aa:06:89:86;0.379316
98:52:b1:11:39:08;08:d4:2b:01:95:46;0.379316
98:52:b1:11:39:08;7c:c5:37:09:84:03;0.379316
98:52:b1:11:39:08;70:56:81:08:82:20;0.379316
98:52:b1:11:39:08;24:ab:81:04:00:67;0.379316
98:52:b1:11:39:08;04:1e:64:01:53:04;0.379316
98:52:b1:11:39:08;88:c6:63:10:46:86;0.379316
98:52:b1:11:39:08;70:73:cb:08:86:73;0.379316
98:52:b1:11:39:08;28:e0:2c:04:34:97;0.379316
98:52:b1:11:39:08;b8:c7:5d:12:68:56;0.379316
98:52:b1:11:39:08;64:b9:e8:08:12:38;0.379316
c8:bc:c8:13:40:81;18:9e:fc:03:30:49;0.634400
c8:bc:c8:13:40:81;18:20:32:03:02:27;0.318935
c8:bc:c8:13:40:81;28:e0:2c:04:32:70;0.318935
c8:bc:c8:13:40:81;74:e2:f5:09:16:57;1.254906
60:21:c0:07:67:05;44:a4:2d:05:88:22;0.368996
60:21:c0:07:67:05;8c:fa:ba:10:75:70;0.368996
60:21:c0:07:67:05;d8:9e:3f:14:09:75;0.395584
60:21:c0:07:67:05;e8:06:88:15:15:91;0.395584
60:21:c0:07:67:05;ec:85:2f:15:41:12;0.368996
60:21:c0:07:67:05;b8:ff:61:12:74:69;0.395584
60:21:c0:07:67:05;50:ea:d6:06:55:16;0.395584
60:21:c0:07:67:05;c8:bc:c8:13:41:66;0.395584
60:21:c0:07:67:05;e8:06:88:15:16:13;0.395584
b8:c7:5d:12:68:68;28:37:37:04:12:00;0.436094
